Week,Day,cup_number,mosquito_id,event,size_mm,molting?
1,3/11/2021,41,1,death,,
1,3/11/2021,41,2,death,,
1,3/11/2021,41,3,death,,
1,3/11/2021,17,1,death,,
1,3/11/2021,17,2,death,,
1,3/11/2021,6,1,death,,
1,3/11/2021,5,1,death,,
1,3/11/2021,30,1,death,,
1,3/11/2021,25,1,death,,
1,3/11/2021,37,1,death,,
1,3/11/2021,37,2,death,,
1,3/11/2021,29,1,missing,,
1,3/11/2021,18,1,missing,,
1,3/11/2021,39,1,death,,
1,3/11/2021,39,2,death,,
1,3/11/2021,39,3,death,,
1,3/11/2021,4,1,death,,
1,3/11/2021,14,1,death,,
1,3/11/2021,14,2,death,,
1,3/11/2021,28,1,missing,,
1,3/11/2021,26,1,death,,
1,3/11/2021,26,2,death,,
1,3/11/2021,26,3,death,,
1,3/11/2021,38,1,death,,
1,3/11/2021,38,2,death,,
1,3/11/2021,32,1,death,,
1,3/11/2021,32,2,death,,
1,3/11/2021,1,1,death,,
1,3/11/2021,13,1,death,,
1,3/11/2021,13,2,death,,
1,3/11/2021,13,3,death,,
1,3/11/2021,40,1,death,,
1,3/11/2021,2,1,death,,
1,3/11/2021,42,1,death,,
1,3/11/2021,42,2,missing,,
1,3/11/2021,16,1,death,,
1,3/11/2021,27,1,death,,
1,3/11/2021,27,2,death,,
1,3/11/2021,27,3,death,,
1,3/11/2021,27,4,death,,
1,4/11/2021,18,1,death,,
1,4/11/2021,1,2,death,,
1,4/11/2021,41,4,death,,
1,4/11/2021,15,1,death,,
1,5/11/2021,17,3,missing,,
1,5/11/2021,15,2,death,,
1,5/11/2021,37,3,death,,
1,5/11/2021,40,2,death,,
1,5/11/2021,38,3,missing,,
1,5/11/2021,27,5,death,,
1,6/11/2021,42,3,death,,
1,6/11/2021,37,4,missing,,
1,6/11/2021,42,4,death,,
1,6/11/2021,26,4,death,,
2,8/11/2021,26,5,death,,
2,9/11/2021,26,6,death,,
2,9/11/2021,25,2,death,,
2,9/11/2021,25,3,death,,
2,9/11/2021,27,6,death,,
2,9/11/2021,28,2,death,,
2,9/11/2021,29,2,death,,
2,9/11/2021,37,5,death,,
2,10/11/2021,42,5,pupation,,
2,10/11/2021,28,3,missing,,
2,10/11/2021,38,4,missing,,
2,10/11/2021,38,5,missing,,
2,10/11/2021,29,3,death,5,Y
2,10/11/2021,32,3,death,6,Y
2,10/11/2021,40,3,death,3,N
2,11/11/2021,42,5,missing,,
2,11/11/2021,25,4,death,6,N
2,11/11/2021,39,4,death,7,Y
